MICROPHONE,ORIENTATION,SOUND,ANGLE,ANSWER,PERSON
AMBEO,AZIMUTH,TRUMPET,180,20,2
AMBEO,AZIMUTH,TRUMPET,-30,65,2
AMBEO,ELEVATION,DUCK,-15,72,2
AMBEO,ELEVATION,DUCK,90,52,2
AMBEO,ELEVATION,DUCK,-45,36,2
AMBEO,ELEVATION,DUCK,-150,15,2
AMBEO,ELEVATION,DUCK,105,175,2
AMBEO,ELEVATION,DUCK,-135,0,2
AMBEO,ELEVATION,DUCK,30,60,2
AMBEO,ELEVATION,DUCK,135,-160,2
AMBEO,AZIMUTH,NOISE,0,90,2
AMBEO,AZIMUTH,NOISE,90,126,2
AMBEO,AZIMUTH,NOISE,-90,140,2
AMBEO,AZIMUTH,NOISE,150,-100,2
AMBEO,AZIMUTH,NOISE,30,105,2
AMBEO,AZIMUTH,NOISE,-150,115,2
AMBEO,AZIMUTH,NOISE,180,180,2
AMBEO,AZIMUTH,NOISE,-30,-110,2
AMBEO,ELEVATION,NOISE,-15,-140,2
AMBEO,ELEVATION,NOISE,90,-104,2
AMBEO,ELEVATION,NOISE,-45,-85,2
AMBEO,ELEVATION,NOISE,-150,-54,2
AMBEO,ELEVATION,NOISE,105,-95,2
AMBEO,ELEVATION,NOISE,-135,-125,2
AMBEO,ELEVATION,NOISE,30,-145,2
AMBEO,ELEVATION,NOISE,135,-135,2
AMBEO,AZIMUTH,ANGRY,0,115,2
AMBEO,AZIMUTH,ANGRY,90,136,2
AMBEO,AZIMUTH,ANGRY,-90,130,2
AMBEO,AZIMUTH,ANGRY,150,-130,2
AMBEO,AZIMUTH,ANGRY,30,110,2
AMBEO,AZIMUTH,ANGRY,-150,90,2
AMBEO,AZIMUTH,ANGRY,180,-178,2
AMBEO,AZIMUTH,ANGRY,-30,-95,2
AMBEO,ELEVATION,SWEET,-15,170,2
AMBEO,ELEVATION,SWEET,90,5,2
AMBEO,ELEVATION,SWEET,-45,15,2
AMBEO,ELEVATION,SWEET,-150,30,2
AMBEO,ELEVATION,SWEET,105,-155,2
AMBEO,ELEVATION,SWEET,-135,-128,2
AMBEO,ELEVATION,SWEET,30,165,2
AMBEO,ELEVATION,SWEET,135,-160,2
ZYLIA,AZIMUTH,TRUMPET,0,,2
ZYLIA,AZIMUTH,TRUMPET,90,,2
ZYLIA,AZIMUTH,TRUMPET,-90,,2
ZYLIA,AZIMUTH,TRUMPET,150,,2
ZYLIA,AZIMUTH,TRUMPET,30,,2
ZYLIA,AZIMUTH,TRUMPET,-150,,2
ZYLIA,AZIMUTH,TRUMPET,180,,2
ZYLIA,AZIMUTH,TRUMPET,-30,,2
ZYLIA,ELEVATION,DUCK,-15,,2
ZYLIA,ELEVATION,DUCK,90,,2
ZYLIA,ELEVATION,DUCK,-45,,2
